entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
5546	1855	vd Straten & S. 1855	1802	1855vdS	nako nako	nako nako	n a k o # n a k o	nako nako	n a k o # n a k o
5549	1855	vd Straten & S. 1855	1803	1855vdS	kalale	kalalE	k a l a l E	kalalɛ	k a l a l ɛ
5567	1855	vd Straten & S. 1855	1805	1855vdS	beloa	bEloa	b E l o a	bɛloa	b ɛ l o a
5597	1855	vd Straten & S. 1855	1815	1855vdS	kokoea	kokua	k o k u a	kokua	k o k u a
5688	1855	vd Straten & S. 1855	1847	1855vdS	ajakraha	ayakraha	a y a k r a h a	ajakraha	a j a k r a h a
5692	1855	vd Straten & S. 1855	1849	1855vdS	kapoepoea	kapupua	k a p u p u a	kapupua	k a p u p u a
5745	1855	vd Straten & S. 1855	1871	1855vdS	lafo beroba	lafo bEroba	l a f o # b E r o b a	lafo bɛroba	l a f o # b ɛ r o b a
5855	1855	vd Straten & S. 1855	1908	1855vdS	penoenaai	pEnuna:i	p E n u n a:i	pɛnunai	p ɛ n u n ai
5864	1855	vd Straten & S. 1855	1911	1855vdS	bolie	bolii	b o l ii	boliː	b o l iː
5966	1855	vd Straten & S. 1855	1947	1855vdS	poeroebo	purubo	p u r u b o	purubo	p u r u b o
5974	1855	vd Straten & S. 1855	1950	1855vdS	kakoeda	kakuda	k a k u d a	kakuda	k a k u d a
6020	1855	vd Straten & S. 1855	1966	1855vdS	kokafieka	kokafiika	k o k a f ii k a	kokafiːka	k o k a f iː k a
6043	1855	vd Straten & S. 1855	1976	1855vdS	hora	hora	h o r a	hora	h o r a
6063	1855	vd Straten & S. 1855	1980	1855vdS	kaijo kanimie	ka:iyo kanimii	k a:i y o # k a n i m ii	kaijo kanimiː	k ai j o # k a n i m iː
6066	1855	vd Straten & S. 1855	1981	1855vdS	meheko	mEhEko	m E h E k o	mɛhɛko	m ɛ h ɛ k o
6195	1855	vd Straten & S. 1855	2021	1855vdS	noekie noekie	nukii nukii	n u k ii # n u k ii	nukiː nukiː	n u k iː # n u k iː
6216	1855	vd Straten & S. 1855	2026	1855vdS	hanna	hanna	h a n n a	hanna	h a n n a
6260	1855	vd Straten & S. 1855	2043	1855vdS	kiendjouw omka	kiinjouw omka	k ii n j o u w # o m k a	kiːnd͡ʒouw omka	k iː n d͡ʒ o u w # o m k a
6299	1855	vd Straten & S. 1855	2065	1855vdS	beheeuw	bEha:u̇	b E h a:u̇	bɛhaɨ	b ɛ h aɨ
6438	1855	vd Straten & S. 1855	2124	1855vdS	bado jamokikia	bado yamokikia	b a d o # y a m o k i k i a	bado jamokikia	b a d o # j a m o k i k i a
6489	1855	vd Straten & S. 1855	2146	1855vdS	toeka	tuka	t u k a	tuka	t u k a
6527	1855	vd Straten & S. 1855	2156	1855vdS	kenio	kEnio	k E n i o	kɛnio	k ɛ n i o
6635	1855	vd Straten & S. 1855	2203	1855vdS	pakiea	pakiia	p a k ii a	pakiːa	p a k iː a
6693	1855	vd Straten & S. 1855	2221	1855vdS	pokiea	pokiia	p o k ii a	pokiːa	p o k iː a
6760	1855	vd Straten & S. 1855	2245	1855vdS	aai é	a:i e	a:i # e	ai e	ai # e
6798	1855	vd Straten & S. 1855	2255	1855vdS	kanenenene	kanEnEnEnE	k a n E n E n E n E	kanɛnɛnɛnɛ	k a n ɛ n ɛ n ɛ n ɛ
6938	1855	vd Straten & S. 1855	2298	1855vdS	pamilie	pamilii	p a m i l ii	pamiliː	p a m i l iː
6960	1855	vd Straten & S. 1855	2307	1855vdS	kapieaka	kapiiaka	k a p ii a k a	kapiːaka	k a p iː a k a
6979	1855	vd Straten & S. 1855	2314	1855vdS	akinoijai	akino:iya:i	a k i n o:i y a:i	akinɔijai	a k i n ɔi j ai
6999	1855	vd Straten & S. 1855	2320	1855vdS	dio	dio	d i o	dio	d i o
7023	1855	vd Straten & S. 1855	2323	1855vdS	nienie	niinii	n ii n ii	niːniː	n iː n iː
7039	1855	vd Straten & S. 1855	2329	1855vdS	kolia	kolia	k o l i a	kolia	k o l i a
7044	1855	vd Straten & S. 1855	2332	1855vdS	pekelie	pEkElii	p E k E l ii	pɛkɛliː	p ɛ k ɛ l iː
7064	1855	vd Straten & S. 1855	2341	1855vdS	koe [pidjoe]	ku [piju]	k u # [ p i j u ]	ku [pid͡ʒu]	k u # [ p i d͡ʒ u ]
7079	1855	vd Straten & S. 1855	2347	1855vdS	niekie niekie	niikii niikii	n ii k ii # n ii k ii	niːkiː niːkiː	n iː k iː # n iː k iː
7134	1855	vd Straten & S. 1855	2368	1855vdS	kioha	kioha	k i o h a	kioha	k i o h a
7166	1855	vd Straten & S. 1855	2382	1855vdS	kiema	kiima	k ii m a	kiːma	k iː m a
7257	1855	vd Straten & S. 1855	2418	1855vdS	nahapai	nahapa:i	n a h a p a:i	nahapai	n a h a p ai
7279	1855	vd Straten & S. 1855	2425	1855vdS	kapie apienjo ; kopie apeinja ; kofieafie	kapii apiiño ; kopii ape:iña ; kofiiafii	k a p ii # a p ii ñ o # ; # k o p ii # a p e:i ñ a # ; # k o f ii a f ii	kapiː apiːɲo ; kopiː apɛiɲa ; kofiːafiː	k a p iː # a p iː ɲ o # ; # k o p iː # a p ɛi ɲ a # ; # k o f iː a f iː
7427	1855	vd Straten & S. 1855	2471	1855vdS	aijienjoe	a:iyiiñu	a:i y ii ñ u	aijiːɲu	ai j iː ɲ u
7546	1855	vd Straten & S. 1855	2514	1855vdS	paporie	paporii	p a p o r ii	paporiː	p a p o r iː
7589	1855	vd Straten & S. 1855	2535	1855vdS	kakafoelo	kakafulo	k a k a f u l o	kakafulo	k a k a f u l o
7612	1855	vd Straten & S. 1855	2540	1855vdS	niomo	niomo	n i o m o	niomo	n i o m o
7631	1855	vd Straten & S. 1855	2547	1855vdS	adoedoe ; [djoha] adoedie	adudu ; [joha] adudii	a d u d u # ; # [ j o h a ] # a d u d ii	adudu ; [d͡ʒoha] adudiː	a d u d u # ; # [ d͡ʒ o h a ] # a d u d iː
