GLOSS	NUMBER
ruined	1309
run	1310
rust	1311
saber	1312
sack	1313
sacred place	1314
sago	1315
sagu palm	1316
sail (n.)	1317
sail (v.)	1318
saliva	1319
salt	1320
saltwater	1321
salty	1322
same	1323
sand	1324
sandbank	1325
sap	1326
sarong	1327
satisfied	1328
save	1329
saw (tool)	1330
say	1331
scabies	1332
scale (for weighing)	1333
scale (of fish/snake)	1334
scare	1335
scary	1336
Schizostachyum brachycladum	1337
scissors	1338
scorched	1339
scorpion	1340
scrape	1341
scratch	1342
scythe (v.)	1343
sea	1344
sea cucumber	1345
sea form	1346
sea hibiscus (Hibiscus tiliaceus)	1347
seagull	1348
seat	1349
second	1350
seed	1351
seek	1352
sell	1353
send	1354
send away	1355
sermon	1356
set (sun, moon)	1357
set fire (for cooking)	1358
set of teeth	1359
seven hundred	1360
seventeen	1361
seventy	1362
sew	1363
shadow	1364
shake (intr.)	1365
shake (tr.)	1366
shallow	1367
shampoo	1368
shark	1369
sharp	1370
sharpen	1371
shattered	1372
shave	1373
shave (beard)	1374
shavings	1375
shield	1376
shin	1377
shine on	1378
shipwreck (v.)	1379
shirt	1380
shit (v.)	1381
shiver (from fever)	1382
shock (v.)	1383
shoot	1384
shore	1385
short	1386
short (time)	1387
shoulder	1388
shoulderblade	1389
shout	1390
show	1391
shrimp	1392
shrink	1393
shut in (a.)	1394
shut up!	1395
shy	1396
sibling	1397
sick	1398
side root	1399
sideways	1400
sigh	1401
sign (n.)	1402
silk	1403
silly	1404
silver	1405
sing	1406
sing a love song	1407
single	1408
sink	1409
sister	1410
sit	1411
sit cross-legged	1412
sitting room	1413
six hundred	1414
sixteen	1415
sixty	1416
skein	1417
skeleton	1418
skew	1419
skewed	1420
skin	1421
skinny	1422
skull	1423
sky	1424
slack	1425
slanting	1426
slap	1427
slap in face (n.)	1428
slash (v.)	1429
slaughter	1430
slave	1431
sleepy	1432
slide off	1433
slim	1434
slippery	1435
slow	1436
slurp	1437
small	1438
smallpox	1439
smart	1440
smell	1441
smile	1442
smoke (n.)	1443
smoke (v.)	1444
snail	1445
snake (river)	1446
snake (small)	1447
snake bite	1448
snarl	1449
snatch (v.)	1450
sneeze	1451
sniff	1452
snot	1453
so that	1454
soak	1455
soft	1456
sole (of foot)	1457
solid	1458
some	1459
sometimes	1460
son-in-law	1461
soon	1462
sore	1463
sound	1464
sour	1465
sow (v.)	1466
space under house	1467
spacious	1468
spear (n.)	1469
spear/lance	1470
speck	1471
speech	1472
spell (n.)/exorcism	1473
sperm	1474
spices	1475
spider	1476
spilled	1477
spin (thread)	1478
spine (backbone)	1479
spirit of earthquake	1480
spirit of the beach	1481
spirit of the village	1482
spirit of the water	1483
spit	1484
splash	1485
split	1486
spotted (face)	1487
spout (v.)	1488
spread out	1489
spring	1490
sprout	1491
square (a.)	1492
square (yard)	1493
squat	1494
squeeze	1495
squint	1496
squirt	1497
stab	1498
stacked	1499
stain (n.)	1500
stairs	1501
stalk	1502
stalk (of fruit)	1503
stammer	1504
stand up	1505
starve	1506
stay	1507
steam	1508
steamboat	1509
steering wheel	1510
stem	1511
stench	1512
step (n.)	1513
step on	1514
step- (family)	1515
stick (n.)	1516
stick (v.)	1517
stick out tongue	1518
sticky	1519
stiff	1520
still (adv.)	1521
stink	1522
stir	1523
stomach	1524
stomach ache	1525
stomp	1526
stop by	1527
store (v.)	1528
storm	1529
straddle	1530
straight	1531
straight through	1532
strait	1533
stretch out	1534
strew	1535
strike (of lightning)	1536
string (of coconut)	1537
strong	1538
strong (well-built)	1539
stump	1540
stupid	1541
suck	1542
suck at breast	1543
suffocate	1544
sugar palm (Arenga pinnata)	1545
sugarcane	1546
sulphur	1547
sundry	1548
sunken	1549
sunken (eyes)	1550
surf	1551
surprised	1552
swallow (v.)	1553
swamp	1554
swear	1555
sweat (n.)	1556
sweep (up)	1557
swell	1558
swim	1559
swimming wood at cast net	1560
swollen	1561
sword	1562
table	1563
taboo	1564
tail	1565
tailbone	1566
take	1567
take on one's lap	1568
talk	1569
talk in sleep	1570
tame	1571
taproot	1572
taro	1573
teach	1574
tear (n.)	1575
tear (v.)	1576
tell lies	1577
temple (body part)	1578
ten thousand	1579
tendon	1580
tense	1581
termite	1582
testimony	1583
that	1584
that's enough!	1585
thatch	1586
their	1587
then (past)	1588
there	1589
there is not	1590
they	1591
thick	1592
thief	1593
thigh	1594
thin	1595
thing	1596
thingumajig	1597
think	1598
thirst(y)	1599
thirteen	1600
thirty	1601
thirty-one	1602
this	1603
thistle (tool)	1604
thorn	1605
thorny bamboo (Bambusa bambos)	1606
thou	1607
thought	1608
thousand	1609
thread	1610
three hundred	1611
thresh (rice) with feet	1612
throat	1613
throw	1614
throw away	1615
throw down	1616
throw stones	1617
thumb	1618
thunderstone	1619
tickle	1620
ticklish	1621
tie up	1622
tight	1623
till (new field)	1624
tin (can)	1625
tired	1626
to	1627
to me	1628
to you (sg.)	1629
toad	1630
tobacco pack	1631
today	1632
toe	1633
toe (big)	1634
toenail	1635
together	1636
toilet (outdoor)	1637
tomorrow	1638
tongue	1639
tools	1640
tooth	1641
torch	1642
torn	1643
tortoise	1644
touch	1645
towel	1646
trade (v.)	1647
trap (n.)	1648
trash	1649
trash bin	1650
treasurer	1651
tree	1652
trellis	1653
tremble	1654
tribe	1655
trousers	1656
try	1657
tumult	1658
turbid	1659
turmeric	1660
turmeric (Curcuma domestica)	1661
turn	1662
turtle	1663
twelve	1664
twenty-five	1665
twenty-one	1666
twice	1667
twist (v.)	1668
two hundred	1669
two-pronged gig	1670
ugly	1671
ulcer	1672
umbilical cord	1673
umbrella	1674
uncle	1675
uncover	1676
under	1677
underarm	1678
understand	1679
undo	1680
unfold	1681
unhappiness	1682
unknown islands	1683
unrelated	1684
until	1685
up to	1686
uprooted	1687
upside-down	1688
urinate	1689
urinate on	1690
urine	1691
use (n.)	1692
use (v.)	1693
used up	1694
useful	1695
usefulness	1696
uterus	1697
vagina	1698
valley	1699
vehicle	1700
veil	1701
vein (of palm leaf)	1702
veins	1703
very	1704
village	1705
virgin	1706
visible	1707
voice	1708
voluntary donation	1709
vomit	1710
vomit (n.)	1711
waist	1712
waist band	1713
waist band made from metal	1714
wait	1715
wake up	1716
walk/travel	1717
wall	1718
want	1719
war	1720
warm	1721
wash	1722
washing bucket	1723
water (v.)	1724
water spinach	1725
wave	1726
we excl.	1727
we incl.	1728
we two incl.	1729
wear (clothes)	1730
weave	1731
wedding	1732
wedge	1733
welcome (v.)	1734
well (n.)	1735
west	1736
wet	1737
what for?	1738
what?	1739
what's that?	1740
what's the name?	1741
whatever!	1742
when? (future)	1743
where?	1744
which?	1745
whirl (v.)	1746
whistle	1747
white person	1748
whittle	1749
who?	1750
why?	1751
wide	1752
widow	1753
widow marrying another man	1754
widow marrying her brother-in-law	1755
widower	1756
widower marrying again	1757
wife	1758
wild	1759
wild pigeon (Chalcophaps indica indica)	1760
wild sugarcane (Saccharum spontaneum)	1761
window	1762
wing	1763
wink (n.)	1764
winner	1765
winnow	1766
winnowing basket	1767
wipe	1768
with	1769
withdraw	1770
wither	1771
withered	1772
within three days	1773
witness	1774
woman (high rank in tradition)	1775
woman in childbirth	1776
womb	1777
wonder (v.)	1778
wood	1779
wood worm	1780
wood-boring beetle	1781
word	1782
work (n.)	1783
work (v.)	1784
worm	1785
worn out	1786
worshipping of ghosts	1787
worshipping of ghosts in case of illness	1788
wound (n.)	1789
wounded	1790
wrap (n.)	1791
wrecked	1792
wriggle	1793
wrinkled	1794
write	1795
wrong	1796
yawn	1797
yaws (frambesia)	1798
year	1799
yesterday	1800
you all	1801
you can go	1802
young	1803
young girl (address)	1804
young man	1805
young of an animal	1806
younger sibling	1807
younger sibling (deceased)	1808
your (pl.)	1809
your (sg.)	1810
