GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
thin	1595	2249	THIN (OF SHAPE OF OBJECT)	2
thing	1596	738	THING	2
thingumajig	1597			
think	1598	2271	THINK	2
thirst(y)	1599	848	THIRST	4
thirteen	1600	1708	THIRTEEN	2
thirty	1601	1715	THIRTY	2
thirty-one	1602	3480	THIRTY ONE	2
this	1603	1214	THIS	2
thistle (tool)	1604	1328	SCISSORS	
thorn	1605	124	THORN	2
thorny bamboo (Bambusa bambos)	1606	1927	BAMBOO	
thou	1607	1215	THOU	2
thought	1608	2975	THOUGHT	2
thousand	1609	1843	THOUSAND	2
thread	1610	1161	THREAD	2
three hundred	1611	3513	THREE HUNDRED	2
thresh (rice) with feet	1612	285	THRESH	
throat	1613	1346	THROAT	2
throw	1614	1456	THROW	2
throw away	1615	3696	THROW AWAY	2
throw down	1616	2866	DROP (SOMETHING)	4
throw stones	1617	1456	THROW	
thumb	1618	1781	THUMB	2
thunderstone	1619	857	STONE	
tickle	1620	3647	TICKLE (SOMEBODY)	2
ticklish	1621	3856	ITCH OR ITCHY OR ITCHING	4
tie up	1622	1094	FASTEN	2
tight	1623	3053	TIGHT	2
till (new field)	1624	3273	TILL	4
tin (can)	1625	1051	CAN	4
tired	1626	1757	TIRED	2
to	1627	2754	TOWARDS	2
to me	1628	2754	TOWARDS	4
to you (sg.)	1629	2754	TOWARDS	4
toad	1630	894	TOAD	2
tobacco pack	1631	974	TOBACCO	
today	1632	1283	TODAY	2
toe	1633	1389	TOE	2
toe (big)	1634	1389	TOE	4
toenail	1635	2662	TOENAIL	2
together	1636	2482	TOGETHER	2
toilet (outdoor)	1637	219	TOILET	4
tomorrow	1638	1329	TOMORROW	2
tongue	1639	1205	TONGUE	2
tools	1640	1361	TOOL	2
tooth	1641	1380	TOOTH	2
torch	1642	1919	TORCH	2
torn	1643	680	BREAK (DESTROY OR GET DESTROYED)	
tortoise	1644	895	TORTOISE	2
touch	1645	1892	TOUCH	2
towel	1646	1021	TOWEL	2
trade (v.)	1647	2135	TRADE OR BARTER	3
trap (n.)	1648	1075	TRAP (PITFALL)	1
trash	1649	909	GARBAGE	2
trash bin	1650	2052	BUCKET	
treasurer	1651			
tree	1652	906	TREE	2
trellis	1653	2610	TRELLIS (ARCHITECTURE)	2
tremble	1654	52	SHIVER	2
tribe	1655	1549	TRIBE	2
trousers	1656	809	TROUSERS	2
try	1657	1812	TRY	2
tumult	1658	1811	NOISE	
turbid	1659	537	TURBID	2
turmeric	1660	2842	TURMERIC	2
turmeric (Curcuma domestica)	1661	2842	TURMERIC	4
turn	1662	1588	TURN	2
turtle	1663	112	TURTLE	2
twelve	1664	1707	TWELVE	2
twenty-five	1665	1738	TWENTY FIVE	2
twenty-one	1666	1734	TWENTY ONE	2
twice	1667	1546	TWICE	2
twist (v.)	1668	430	TWIST	3
two hundred	1669	2676	TWO HUNDRED	2
two-pronged gig	1670	945	SPEAR	
ugly	1671	1548	UGLY	2
ulcer	1672	1189	ULCER	2
umbilical cord	1673	2663	UMBILICAL CORD	2
umbrella	1674	3105	UMBRELLA	2
uncle	1675	1327	UNCLE	2
uncover	1676	1108	UNCOVER	2
under	1677	1485	BELOW OR UNDER	2
underarm	1678	446	LOWER ARM	
understand	1679	1536	UNDERSTAND	2
undo	1680	352	UNTIE	4
unfold	1681	38	SPREAD OUT	
unhappiness	1682	3854	SADNESS	
unknown islands	1683	622	ISLAND	
unrelated	1684	791	STRANGER	
until	1685	2753	UNTIL	2
up to	1686	2753	UNTIL	4
uprooted	1687	1735	TEAR (SHRED)	
upside-down	1688			
urinate	1689	592	PISS	2
urinate on	1690	592	PISS	
urine	1691	1142	URINE	2
use (n.)	1692	2072	USE (VERB)	4
use (v.)	1693	2072	USE (VERB)	3
used up	1694			
useful	1695			
usefulness	1696			
uterus	1697	804	WOMB	
vagina	1698	1836	VAGINA	2
valley	1699	921	VALLEY	2
vehicle	1700	2549	VEHICLE	2
veil	1701	1151	VEIL	2
vein (of palm leaf)	1702	525	BLOOD VESSEL	4
veins	1703	525	BLOOD VESSEL	2
very	1704	1311	VERY	2
village	1705	930	VILLAGE	2
virgin	1706	2298	VIRGIN	2
visible	1707	1868	VISIBLE	2
voice	1708	1363	VOICE	2
voluntary donation	1709	2982	GIFT	
vomit	1710	1278	VOMIT	2
vomit (n.)	1711	1278	VOMIT	4
waist	1712	1681	WAIST	2
waist band	1713	772	BELT	
waist band made from metal	1714	772	BELT	
wait	1715	1590	WAIT (FOR)	2
wake up	1716	1602	WAKE UP	2
walk/travel	1717	1443	WALK	4
wall	1718	3830	WALL	2
want	1719	1784	WANT	2
war	1720	935	WAR	2
warm	1721	1232	WARM	2
wash	1722	1453	WASH	2
washing bucket	1723	2052	BUCKET	
water (v.)	1724	3078	IRRIGATE	3
water spinach	1725	975	SPINACH	
wave	1726	978	WAVE	2
we excl.	1727	1130	WE (EXCLUSIVE)	2
we incl.	1728	1131	WE (INCLUSIVE)	2
we two incl.	1729	1131	WE (INCLUSIVE)	
wear (clothes)	1730	158	PUT ON	4
weave	1731	133	WEAVE	2
wedding	1732	1259	WEDDING	2
wedge	1733			
welcome (v.)	1734			
well (n.)	1735	954	WELL	1
west	1736	1817	WEST	2
wet	1737	1726	WET	2
what for?	1738	3268	QUESTION	
what?	1739	1236	WHAT	2
what's that?	1740	3268	QUESTION	
what's the name?	1741	3268	QUESTION	
whatever!	1742			
when? (future)	1743	1238	WHEN	4
where?	1744	1237	WHERE	2
which?	1745	727	WHICH	2
whirl (v.)	1746			
whistle	1747	1025	WHISTLE	2
white person	1748	2839	WHITE MAN	
whittle	1749			
who?	1750	1235	WHO	2
why?	1751	1270	WHY	2
wide	1752	1243	WIDE	2
widow	1753	1756	WIDOW	2
widow marrying another man	1754	1756	WIDOW	
widow marrying her brother-in-law	1755	1756	WIDOW	
widower	1756	1981	WIDOWER	2
widower marrying again	1757	1981	WIDOWER	
wife	1758	1199	WIFE	2
wild	1759	2230	UNTAMED OR WILD	2
wild pigeon (Chalcophaps indica indica)	1760	1853	DOVE	
wild sugarcane (Saccharum spontaneum)	1761	146	SUGAR CANE	
window	1762	1375	WINDOW	2
wing	1763	1257	WING	2
wink (n.)	1764	1655	BLINK	4
winner	1765			
winnow	1766	2462	WINNOWING	2
winnowing basket	1767	2051	DUSTPAN	2
wipe	1768	1454	WIPE	2
with	1769	1340	WITH	2
withdraw	1770	3654	TAKE OUT	4
wither	1771	2907	ROT	2
withered	1772	2907	ROT	
within three days	1773	892	ROT	
witness	1774	1144	WITNESS	2
woman (high rank in tradition)	1775	962	WOMAN	4
woman in childbirth	1776	1195	GIVE BIRTH	
womb	1777	804	WOMB	2
wonder (v.)	1778	1415	THINK (REFLECT)	
wood	1779	1803	WOOD	2
wood worm	1780	1219	WORM	
wood-boring beetle	1781	2242	BEETLE	
word	1782	1599	WORD	2
work (n.)	1783	984	WORK (LABOUR)	1
work (v.)	1784	1086	WORK (ACTIVITY)	3
worm	1785	1219	WORM	2
worn out	1786	2113	OLD (USED)	
worshipping of ghosts	1787	257	WORSHIP	
worshipping of ghosts in case of illness	1788	257	WORSHIP	
wound (n.)	1789	1109	WOUND	1
wounded	1790	1109	WOUND	
wrap (n.)	1791	1113	WRAP	4
wrecked	1792			
wriggle	1793			
wrinkled	1794	380	WRINKLED	2
write	1795	1672	WRITE	2
wrong	1796	1390	WRONG	2
yawn	1797	1028	YAWN	2
yaws (frambesia)	1798	1986	DISEASE	
year	1799	1226	YEAR	2
yesterday	1800	1174	YESTERDAY	2
you all	1801	1213	YOU	2
you can go	1802	695	GO	
young	1803	1207	YOUNG	2
young girl (address)	1804	1646	GIRL	4
young man	1805	76	YOUNG MAN	2
young of an animal	1806	1207	YOUNG	
younger sibling	1807	427	YOUNGER SIBLING	2
younger sibling (deceased)	1808	427	YOUNGER SIBLING	4
your (pl.)	1809	2274	YOUR (PLURAL)	4
your (sg.)	1810	732	YOUR (SINGULAR)	4
