GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
gouge	695	1735	TEAR (SHRED)	
grab	696	855	SEIZE	2
grain	697	605	GRAIN	2
grandchild	698	1617	GRANDCHILD	2
grandparent	699	305	GRANDPARENTS	2
grasp	700	2021	GRASP	2
grass	701	606	GRASS	2
grasshopper	702	607	GRASSHOPPER	2
grave	703	1773	GRAVE	2
graveyard	704	3284	GRAVEYARD	2
graze	705	3058	GRAZE	2
great-grandchild	706			
great-grandparent	707			
greedy	708	2018	GREEDY	2
green	709	1425	GREEN	2
greet	710	3552	GREET	2
grey hair	711	2648	HAIR (HEAD)	
grind	712	1033	GRIND	2
grinding stone	713	2459	GRINDSTONE	2
grope	714			
grow (intr.)	715	479	GROW	4
grudge	716	887	BITTER	
grunt	717			
guard	718	1940	GUARD	2
guard (v.)	719	1940	GUARD	3
guest	720	1782	GUEST	2
gums	721	139	GUMS	2
hack	722	3889	CUT OR HACK	4
half	723	816	HALF	2
hammer	724	1481	HAMMER	2
hammock	725	2019	HAMMOCK	2
handicapped	726			
handkerchief	727	1020	HANDKERCHIEF	2
handle	728	1254	HANDLE	2
hang (intr.)	729	2884	HANG	4
happy	730	1495	HAPPY	2
hard (firm)	731	1884	HARD	4
harvest	732	611	HARVEST	2
hat	733	771	HAT	2
hatch	734	3116	HATCH (OUT)	2
hate (n.)	735	3749	HATE (LOATHING)	3
hate (v.)	736	1607	HATE	1
have	737	773	HAVE	2
have a child	738	1195	GIVE BIRTH	
have a meeting	739	3070	HOLD A MEETING	
have diarrhea	740	2714	HAVE DIARRHEA	4
have miscarriage	741			
have trouble	742	2425	PROBLEM	
he (deceased)	743	1211	HE	4
head scarf	744	3066	SCARF OR TURBAN	
headache	745	3625	HEADACHE	2
headgear	746	2130	HEADGEAR	2
headman	747	301	CHIEFTAIN	2
headwaters	748	2672	HEADWATERS	2
healthy	749	1364	HEALTHY	2
hear	750	1408	HEAR	2
heart	751	1223	HEART	2
heat of sun	752	612	HEAT	
heavy (rain)	753	1210	HEAVY	4
heel	754	980	HEEL	2
heir	755	3664	INHERIT	
heirlooms	756	2982	GIFT	
help (n.)	757	3467	HELP (ASSISTANCE)	3
help (v.)	758	1897	HELP	3
hen	759	1514	HEN	2
here	760	136	HERE	2
heritage	761			
heron	762	758	HERON	2
hey!	763			
hide	764	2486	HIDE	2
hide (intr.)	765	2486	HIDE	4
hide (tr.)	766	602	HIDE (CONCEAL)	2
high	767	2790	HIGH OR TALL	2
high tide	768	613	HIGH TIDE	2
high tide (extreme)	769	613	HIGH TIDE	4
his/her	770	2092	HIS OR HER	2
hiss (snakes)	771	3685	HISS	4
history	772			
hit	773	1433	HIT	2
hoe	774	284	HOE	2
hoe (v.)	775	1921	PLOUGH	4
hole	776	1667	HOLE	2
holed	777			
holy place	778			
home of the deceased	779	2406	HOME	
hood	780			
hope (n.)	781	3211	HOPE (FAITH)	3
horizon (at sea)	782	2287	HORIZON	4
horn (triton shell used as instrument)	783	775	TRUMPET	4
horse	784	615	HORSE	2
hot	785	1286	HOT	2
how long ago?	786	2338	HOW LONG	
how many?	787	822	HOW MANY	2
how?	788	1239	HOW	2
hug (n.)	789	928	EMBRACE	4
hug (v.)	790	928	EMBRACE	3
human being	791	683	PERSON	2
hungry	792	1533	BE HUNGRY	2
hunt	793	1435	HUNT	2
hunt with dog	794	1435	HUNT	
hurt	795	2561	HURT (SENSE PAIN)	2
husband	796	1200	HUSBAND	2
husk	797	2501	RICE HUSK	2
hut	798	1678	HUT	2
hut for smoking coconut	799	1678	HUT	
if	800	1459	IF	2
illness	801	1986	DISEASE	2
in	802	1460	IN	2
in front	803	1883	IN FRONT OF	2
in the evening	804	1629	EVENING	
in-law	805			
increase	806	1041	INCREASE	2
index finger	807	577	FOREFINGER	2
index toe	808	1389	TOE	
Indian almond (Terminalia catappa)	809	3815	ALMOND	
infected wound	810	1109	WOUND	
inflate (intr.)	811	1041	INCREASE	
inherit	812	3664	INHERIT	2
inject	813	246	THRUST	
inlet	814	608	GULF	
inside	815	1606	INSIDE	2
inside the house	816	1606	INSIDE	
install	817			
instead	818	1652	INSTEAD	2
instrument for octopus hunting	819	1361	TOOL	
instrument for peeling coconut	820	1361	TOOL	
instrument for shaving coconut	821	1361	TOOL	
intent	822	1162	INTENTION	
intestines	823	1991	INTESTINES	2
intimidate	824	252	FRIGHTEN	
Intsia bijuga	825			
iron	826	621	IRON	2
iron (rusty)	827	621	IRON	4
island	828	622	ISLAND	2
